nombre,materno,paterno,domicilio,email,idcarrera
Hynda,Haslock,Rizzardi,34543 Victoria Circle,hrizzardi0@google.nl,1024
Jacob,Nancarrow,Gutherson,4 Gulseth Alley,jgutherson1@msn.com,989
Bert,Harmson,Richardin,78886 Sunfield Lane,brichardin2@discovery.com,967
Brandyn,Cowe,Camolli,93228 Burning Wood Place,bcamolli3@rakuten.co.jp,1000
Court,Terron,Martino,6 Grayhawk Way,cmartino4@unc.edu,991
Noak,Briatt,Thireau,97897 Jackson Park,nthireau5@cyberchimps.com,970
Edwin,Collett,Bottrill,00646 Elgar Lane,ebottrill6@blogger.com,994
Garnet,Martugin,Isabell,123 Clemons Lane,gisabell7@archive.org,967
Worden,Mannion,Litt,87 Cardinal Hill,wlitt8@woothemes.com,999
Margo,Barstowk,Ramsay,3696 American Ash Junction,mramsay9@virginia.edu,988
Chloe,Robillard,Seson,8 Kropf Parkway,csesona@cpanel.net,967
Tessy,Tesoe,Cramb,9 Barnett Crossing,tcrambb@yale.edu,996
Torr,Ofer,Corwin,7192 Debra Hill,tcorwinc@is.gd,997
Foss,Brimman,Hasloch,05 Debra Court,fhaslochd@weebly.com,997
Julienne,Gavrielli,Piniur,1573 Mallard Trail,jpiniure@blogspot.com,998
Kenny,Bugdell,Haydney,8 Miller Circle,khaydneyf@posterous.com,989
Lydia,Jaggli,Biford,9375 Nobel Park,lbifordg@liveinternet.ru,970
Ysabel,Batten,Brumfitt,34 Ohio Pass,ybrumfitth@theatlantic.com,989
Brina,Kunert,Athow,9 Sundown Circle,bathowi@edublogs.org,967
Manya,Escofier,Gainsborough,02022 Esker Road,mgainsboroughj@clickbank.net,967
Ethel,Kennet,Digginson,76 Manley Avenue,edigginsonk@dagondesign.com,994
Cornelia,MacEveley,Ebrall,1 Stang Street,cebralll@altervista.org,1024
Reyna,Kirkebye,Pierrepont,6362 Transport Place,rpierrepontm@fc2.com,974
Dru,Paxeford,Thomsson,18 South Avenue,dthomssonn@mozilla.org,978
Valina,Sewall,Barbisch,8 Blaine Point,vbarbischo@state.gov,998
Morgana,Trenbey,Lindborg,498 Waxwing Parkway,mlindborgp@fema.gov,970
Swen,Pendlebury,Dufaur,37066 8th Avenue,sdufaurq@unblog.fr,997
Alethea,L'Hommee,Adrian,50 Paget Place,aadrianr@microsoft.com,994
